  0.00000000E+00 -0.23848885E+01
  0.10894111E-01 -0.23854961E+01
  0.21788222E-01 -0.23873058E+01
  0.32682333E-01 -0.23902786E+01
  0.43576444E-01 -0.23943484E+01
  0.54470555E-01 -0.23994220E+01
  0.65364666E-01 -0.24053782E+01
  0.76258777E-01 -0.24120684E+01
  0.87152888E-01 -0.24193190E+01
  0.98047000E-01 -0.24269344E+01
  0.10894111E+00 -0.24347034E+01
  0.11983522E+00 -0.24424069E+01
  0.13072933E+00 -0.24498280E+01
  0.14162344E+00 -0.24567633E+01
  0.15251755E+00 -0.24630348E+01
  0.16341167E+00 -0.24685024E+01
  0.17430578E+00 -0.24730741E+01
  0.18519989E+00 -0.24767148E+01
  0.19609400E+00 -0.24794516E+01
  0.20698811E+00 -0.24813750E+01
  0.21788222E+00 -0.24826357E+01
  0.22877633E+00 -0.24834378E+01
  0.23967044E+00 -0.24840263E+01
  0.25056455E+00 -0.24846728E+01
  0.26145867E+00 -0.24856580E+01
  0.27235278E+00 -0.24872536E+01
  0.28324689E+00 -0.24897042E+01
  0.29414100E+00 -0.24932117E+01
  0.30503511E+00 -0.24979229E+01
  0.31592922E+00 -0.25039213E+01
  0.32682333E+00 -0.25112242E+01
  0.33771744E+00 -0.25197848E+01
  0.34861155E+00 -0.25294999E+01
  0.35950566E+00 -0.25402213E+01
  0.37039978E+00 -0.25517708E+01
  0.38129389E+00 -0.25639570E+01
  0.39218800E+00 -0.25765920E+01
  0.40308211E+00 -0.25895071E+01
  0.41397622E+00 -0.26025653E+01
  0.42487033E+00 -0.26156701E+01
  0.43576444E+00 -0.26287696E+01
  0.44665855E+00 -0.26418555E+01
  0.45755266E+00 -0.26549579E+01
  0.46844678E+00 -0.26681358E+01
  0.47934089E+00 -0.26814651E+01
  0.49023500E+00 -0.26950250E+01
  0.50112911E+00 -0.27088849E+01
  0.51202322E+00 -0.27230925E+01
  0.52291733E+00 -0.27376650E+01
  0.53381144E+00 -0.27525836E+01
  0.54470555E+00 -0.27677926E+01
  0.55559966E+00 -0.27832028E+01
  0.56649378E+00 -0.27986978E+01
  0.57738789E+00 -0.28141439E+01
  0.58828200E+00 -0.28294021E+01
  0.59917611E+00 -0.28443389E+01
  0.61007022E+00 -0.28588383E+01
  0.62096433E+00 -0.28728099E+01
  0.63185844E+00 -0.28861953E+01
  0.64275255E+00 -0.28989701E+01
  0.65364666E+00 -0.29111429E+01
  0.66454077E+00 -0.29227506E+01
  0.67543489E+00 -0.29338514E+01
  0.68632900E+00 -0.29445153E+01
  0.69722311E+00 -0.29548154E+01
  0.70811722E+00 -0.29648184E+01
  0.71901133E+00 -0.29745774E+01
  0.72990544E+00 -0.29841270E+01
  0.74079955E+00 -0.29934810E+01
  0.75169366E+00 -0.30026332E+01
  0.76258777E+00 -0.30115610E+01
  0.77348189E+00 -0.30202306E+01
  0.78437600E+00 -0.30286038E+01
  0.79527011E+00 -0.30366452E+01
  0.80616422E+00 -0.30443281E+01
  0.81705833E+00 -0.30516399E+01
